User_X,User_Y,AGV_distance_X,AGV_distance_Y,AGV_speed_X,AGV_speed_Y,AGV_speed,User_speed_X,User_speed_Y,User_speed,User_velocity_X,User_velocity_Y,Wait_time,Gazing_station,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,start_station_X,start_station_Y,end_station_X,end_station_Y,distance_from_start_station_X,distance_from_start_station_Y,distance_from_end_station_X,distance_from_end_station_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,rolling_avg
0.0594045681866731,0.8984692118583719,0.15025077214935506,0.2887392752108501,1.9428340509882307e-06,0.023256046297290053,0.006029909311495159,0.0023449065819475404,0.004564747708924935,0.004735163685447376,0.11138403292433385,0.2922747924865148,0.0,0.7142857142857143,0.0,0.12184147011496113,0.060435904904361536,0.21219561808238577,0.0,1.0,0.002129653292443989,0.004832585433206761,0.029200087397593746,0.10379098140240312,0.024851033993357023,0.8767171854778282,0.9705,0.34,0.7636518771331058,0.19360538110914538,0.8911211847545677,0.10160835657491285
0.05900184398678113,0.8924926618185801,0.15064750739994134,0.28347151572390356,1.942834050693708e-06,0.024025336626963188,0.006229373587967166,0.0009768643087928552,0.00180199623588152,0.0018767629830856428,0.11259685318168941,0.29422117659368874,0.0,0.8571428571428572,0.0,0.12669054462780244,0.05862981894410884,0.22494265243319966,0.0,1.0,0.002129653292443989,0.004832585433206761,0.02832747279375532,0.11002592261936761,0.023981708912056986,0.8703998365233975,0.9965,0.4595,0.7807167235494881,0.1936064060134148,0.8856462666015743,0.09730921635463162
0.05869312541623215,0.8888646520364862,0.15095186386914722,0.2772483428876983,1.942834050693708e-06,0.02356076519410621,0.006108917888460362,0.0010654736819359321,0.001551364434882765,0.0016534660999314515,0.1125182976831874,0.29439774902844307,0.0,0.5714285714285714,0.0,0.12958991083821822,0.0572453174016452,0.23268062250113727,0.0,1.0,0.002129653292443989,0.004832585433206761,0.027658547675251274,0.11381078639116259,0.023315305461473822,0.8665649478918327,0.997,0.522,0.7713310580204777,0.1936073706291978,0.8802110941227975,0.09582520870760843
0.05838244348667434,0.8850771515934568,0.15125822522008592,0.2711183641723465,1.9428340509882307e-06,0.02271654398816934,0.00589002527385497,0.0018067667304222193,0.0032570530805652196,0.003398426416940247,0.1118611138786491,0.2931960755141453,0.0,0.8571428571428572,0.0,0.132707692150784,0.055852010837924536,0.2407587608802313,0.0,1.0,0.002129653292443989,0.004832585433206761,0.026985368390386857,0.11776203627015425,0.02264466388159417,0.8625614740140317,0.9965,0.51,0.7525597269624573,0.1936083955334672,0.8747929832017334,0.09557764214803191
0.05794759873339784,0.8785841095749172,0.15168642169170993,0.26611213155509866,1.295222700560468e-06,0.022816451823193716,0.005915929548010299,0.0020617888287352655,0.004138905713707816,0.004284365693318941,0.11163502732198578,0.2925748021326032,0.0,1.0,0.0,0.13836461748537218,0.05390187472990593,0.2546073907922274,0.0,1.0,0.002129653292443989,0.004832585433206761,0.026043155624892844,0.12453579956759749,0.021706003005003225,0.8556981813227983,0.9934999999999999,0.4505,0.7440273037542662,0.19360936014925018,0.8693452084360098,0.09422190226038285
0.05746806792908034,0.8713442001785003,0.15215857133978383,0.26144242554713354,1.9428340509882307e-06,0.022709050900545695,0.005888082440002129,0.002366518624177451,0.004603038678521263,0.004775161491781818,0.11136487304665053,0.2922478161423167,0.0,0.4285714285714286,0.0,0.14484754423534663,0.051751336338076145,0.2700489704926327,0.0,1.0,0.002129653292443989,0.004832585433206761,0.025004118033036878,0.13208872043369305,0.020670882305623743,0.8480454328724197,0.815,0.12999999999999998,0.651877133105802,0.19361038505351963,0.8639076124405124,0.0959532635567902
0.056965840694620774,0.8640524160418604,0.15265300601942605,0.2568060527567611,1.942834050693708e-06,0.023263539384918246,0.006031852145354092,0.002366518624177451,0.004448714467721574,0.004626583038952859,0.11136487304665053,0.2923565389840864,0.0,0.1428571428571429,0.0,0.15150427978829029,0.0494990119005145,0.2856011907952515,0.0,1.0,0.002129653292443989,0.004832585433206761,0.023915902278055096,0.1396957588013207,0.019586768831576614,0.8403378516449831,0.431,0.02200000000000004,0.6331058020477816,0.19361140995778903,0.858477674757852,0.09860803797517328
0.05656861389995352,0.8584064466447354,0.153044343511501,0.25141579369516065,1.9428340509882307e-06,0.023330977173558334,0.0060493376500838775,0.0012859165126809249,0.002333428480589499,0.002433413989620854,0.11232286693081758,0.29384677763481315,0.0,0.1428571428571429,0.0,0.1567448511344778,0.0477175799997816,0.2976431490102126,0.0,1.0,0.002129653292443989,0.004832585433206761,0.023055199340025704,0.1455858269960951,0.018729310512306797,0.8343699339282067,0.117,0.186,0.7389078498293515,0.19361243486205845,0.8530167160611689,0.09398088434587484
0.05626554980334999,0.853665868676356,0.1533431480005237,0.24568886913587115,1.942834050693708e-06,0.022696562421165377,0.005884844383578918,0.001579840287007909,0.0035831064883485877,0.00368212204244847,0.11206229259432421,0.29296636785596775,0.0,0.1428571428571429,0.0,0.16124309667840464,0.0463584369185384,0.307754050751738,0.0,1.0,0.002129653292443989,0.004832585433206761,0.022398526220639495,0.15053135991567093,0.018075112874097615,0.8293590354880455,0.022499999999999947,0.36200000000000004,0.7585324232081911,0.19361339947784142,0.8475931764626505,0.09348493181702172
0.05605853322945853,0.8497079226583063,0.153547723048105,0.23952361276523337,1.9428340509882307e-06,0.023268534776670367,0.00603314736792675,0.0008104515836223943,0.001971404768038555,0.002018847906582384,0.11274438423985113,0.29410182670723406,0.0,0.1428571428571429,0.0,0.1650887941288151,0.04543003547719157,0.31619572253810935,0.0,1.0,0.002129653292443989,0.004832585433206761,0.021949966919602416,0.15466042444255612,0.01762824452107362,0.8251753967713369,0.050499999999999996,0.2995,0.7013651877133106,0.19361442438211085,0.8420991609978996,0.095438668643754
0.055741961222874246,0.8447118374290749,0.1538598677117344,0.2338036326262756,1.942834050693708e-06,0.023850497915670538,0.006184040797802265,0.001837023589544389,0.003364963994884832,0.003506517574485862,0.11183429004989218,0.2931200512714034,0.0,0.1428571428571429,0.0,0.1699163173497761,0.04401031384969964,0.32685158078619403,0.0,1.0,0.002129653292443989,0.004832585433206761,0.02126402513565689,0.15987251126719637,0.016944888553304435,0.8198944213609427,0.01849999999999996,0.393,0.7141638225255973,0.19361544928638028,0.8366035944824476,0.09136992110436419
